Task,Start,Finish,Complete,Resource
Meetings with CS teams,01/01/2020,31/01/2020,100,A
EDI calls,01/02/2020,01/03/2020,100,A
Calls project for SE,01/02/2020,01/06/2020,5,A
LVISNet orders FI,01/04/2020,01/05/2020,0,A
Kesko e-archive requests FI,01/04/2020,01/05/2020,0,A
Calls project for FI,01/04/2020,01/09/2020,0,A
BNP report,20/02/2020,01/04/2020,20,A
Continius improvement/code refactoryzation,01/02/2020,31/12/2020,25, A
